N,Секунда ,Микросекунда
1,12,249211
2,12,259689
3,12,269785
4,12,280297
5,12,290461
6,12,300566
7,12,310749
8,12,321847
9,12,331961
10,12,342086
11,12,352177
12,12,363198
13,12,374192
14,12,385208
15,12,395553
16,12,406220
17,12,417331
18,12,428736
19,12,439762
20,12,450247
21,12,460779
22,12,471784
23,12,482790
24,12,492948
25,12,503831
26,12,513950
27,12,524054
28,12,535058
29,12,546075
30,12,557069
31,12,568091
32,12,579244
33,12,589313
34,12,600131
35,12,611133
36,12,622167
37,12,633173
38,12,644209
39,12,654761
40,12,664920
41,12,675061
42,12,685965
43,12,696990
44,12,707973
45,12,720009
46,12,731008
47,12,742109
48,12,752298
49,12,763082
50,12,773229
51,12,784084
52,12,794234
53,12,804353
54,12,815380
55,12,825759
56,12,836793
57,12,847810
58,12,858562
59,12,868823
60,12,879841
61,12,890836
62,12,901854
63,12,912041
64,12,922870
65,12,932987
66,12,943989
67,12,955014
68,12,966008
69,12,977045
70,12,988102
71,12,998984
72,13,9672
73,13,20384
74,13,31401
75,13,42324
76,13,53321
77,13,64311
78,13,75385
79,13,86392
80,13,97419
81,13,108085
82,13,118697
83,13,129118
84,13,139236
85,13,150237
86,13,161237
87,13,172257
88,13,182417
89,13,193418
90,13,204579
91,13,214720
92,13,225596
93,13,236584
94,13,247611
95,13,258627
96,13,268941
97,13,279635
98,13,290666
99,13,301661
100,13,312656
101,13,323649
102,13,334638
103,13,345631
104,13,356625
105,13,367630
106,13,378619
107,13,389126
108,13,399640
109,13,409751
110,13,419863
111,13,430864
112,13,441857
113,13,452928
114,13,463951
115,13,474942
116,13,486933
117,13,497440
118,13,508432
119,13,518946
120,13,529455
121,13,540379
122,13,550942
123,13,561953
124,13,572057
125,13,582741
126,13,593766
127,13,604139
128,13,615127
129,13,626172
130,13,637149
131,13,648183
132,13,658914
133,13,669198
134,13,680212
135,13,691249
136,13,702164
137,13,713160
138,13,724149
139,13,735146
140,13,746135
141,13,757126
142,13,768123
143,13,778636
144,13,788731
145,13,799236
146,13,810240
147,13,820373
148,13,830520
149,13,840689
150,13,851541
151,13,862557
152,13,873558
153,13,883746
154,13,893858
155,13,904915
156,13,915908
157,13,926445
158,13,937468
159,13,948747
160,13,959422
161,13,970423
162,13,981421
163,13,992412
164,14,3446
165,14,13574
166,14,24325
167,14,34447
168,14,45437
169,14,56432
170,14,67439
171,14,78053
172,14,88540
173,14,99494
174,14,110266
175,14,120747
176,14,131775
177,14,142743
178,14,153764
179,14,164865
180,14,175898
181,14,186886
182,14,197955
183,14,208568
184,14,218749
185,14,228933
186,14,240004
187,14,250839
188,14,261860
189,14,272732
190,14,282944
191,14,293141
192,14,304041
193,14,315092
194,14,326081
195,14,337199
196,14,348097
197,14,358729
198,14,369763
199,14,380726
200,14,391751
201,14,402739
202,14,413738
203,14,424759
204,14,435746
205,14,446776
206,14,457810
207,14,468175
208,14,479168
209,14,490163
210,14,501153
211,14,512169
212,14,523189
213,14,533293
214,14,544317
215,14,555374
216,14,566336
217,14,577359
218,14,587746
219,14,598371
220,14,609191
221,14,619307
222,14,630236
223,14,641208
224,14,652158
225,14,663143
226,14,674099
227,14,684296
228,14,695314
229,14,706204
230,14,716787
231,14,727780
232,14,738786
233,14,749802
234,14,760811
235,14,771817
236,14,782545
237,14,793279
238,14,804296
239,14,815292
240,14,826318
241,14,837339
242,14,847863
243,14,858417
244,14,868781
245,14,879787
246,14,889904
247,14,900817
248,14,911811
249,14,922080
250,14,932205
251,14,942339
252,14,953401
253,14,964444
254,14,974621
255,14,985665
256,14,996653
257,15,7695
258,15,18277
259,15,28808
260,15,39291
261,15,50281
262,15,61276
263,15,72267
264,15,83283
265,15,94281
266,15,105232
267,15,116243
268,15,127249
269,15,137878
270,15,148284
271,15,158463
272,15,170293
273,15,181286
274,15,191775
275,15,202444
276,15,212610
277,15,223536
278,15,234652
279,15,245563
280,15,256556
281,15,267579
282,15,278270
283,15,288714
284,15,299236
285,15,309736
286,15,320752
287,15,331343
288,15,341484
289,15,351764
290,15,362775
291,15,372938
292,15,383396
293,15,394027
294,15,405020
295,15,416012
296,15,426538
297,15,437600
298,15,448288
299,15,458585
300,15,468768
